"taxon","distance"
"Acari_fa","0m"
"Acari_fa","3m"
"Agaricomycetes_unclassified","3m"
"Araeolaimida_fa","0m"
"Araeolaimida_fa","3m"
"Ascaridida_fa","0m"
"Ascaridida_fa","3m"
"Ascomycota_unclassified","0m"
"Aspergillaceae","0m"
"Asterales_fa","3m"
"Bacillariophyceae","3m"
"Ceratobasidiaceae","0m"
"Ceratobasidiaceae","3m"
"Cercomonadidae_fa","0m"
"Chromadorea_unclassified","0m"
"Chromadorea_unclassified","3m"
"Chromulinales_fa","0m"
"Chromulinales_fa","3m"
"Cladosporiaceae","3m"
"Coleoptera_fa","0m"
"Coleoptera_fa","3m"
"Collembola_fa","0m"
"Collembola_fa","3m"
"Conthreep_unclassified","3m"
"Debaryomycetaceae","0m"
"Didymellaceae","0m"
"Didymellaceae","3m"
"Dipodascaceae","0m"
"Diptera_fa","0m"
"Diptera_fa","3m"
"Dorylaimida_fa","0m"
"Dorylaimida_fa","3m"
"Dothideomycetes_unclassified","3m"
"Echinamoebida_fa","0m"
"Eukaryota_unclassified","0m"
"Eukaryota_unclassified","3m"
"Eustigmatales_fa","0m"
"Eustigmatales_fa","3m"
"Haplotaxida_fa","0m"
"Haplotaxida_fa","3m"
"Haptoria","0m"
"Haptoria","3m"
"Helotiaceae","3m"
"Herpotrichiellaceae","0m"
"Herpotrichiellaceae","3m"
"Hymenoptera_fa","3m"
"Hypotrichia","0m"
"Hypotrichia","3m"
"Incertae_Sedis","3m"
"Insecta_unclassified","0m"
"Insecta_unclassified","3m"
"Leptosphaeriaceae","0m"
"Leptosphaeriaceae","3m"
"Mammalia_fa","0m"
"Monhysterida_fa","0m"
"Monhysterida_fa","3m"
"Mortierellaceae","0m"
"Mortierellaceae","3m"
"Mucoraceae","0m"
"Neogregarinorida","0m"
"Neogregarinorida","3m"
"Ochromonadales_fa","3m"
"Ochrophyta_unclassified","0m"
"Ochrophyta_unclassified","3m"
"Oligohymenophorea","3m"
"Opiliones_fa","0m"
"Peronosporomycetes_fa","0m"
"Peronosporomycetes_fa","3m"
"Piptocephalidaceae","0m"
"Pleosporales_unclassified","0m"
"Pleosporales_unclassified","3m"
"Poales_fa","0m"
"Poales_fa","3m"
"Rhabditida_fa","0m"
"Rhizaspididae","0m"
"Rhizaspididae","3m"
"Sphaeropleales_fa","0m"
"Sphaeropleales_fa","3m"
"Trichosporonaceae","0m"
"Trichosporonaceae","3m"
"Ustilaginaceae","0m"
"Ustilaginaceae","3m"
