taxlevel	rankID	taxon	daughterlevels	total	A1_T1_3m	A1_T26_0m	A1_T26_3m	A1_T2_0m	A1_T2_3m	A1_T33_0m	A1_T33_3m	A1_T40_0m	A1_T40_3m	A1_T47_0m	A1_T47_3m	A1_T54_0m	A1_T54_3m	A1_T61_0m	A1_T61_3m	A2_T1_0m	A2_T1_3m	A2_T26_0m	A2_T26_3m	A2_T2_0m	A2_T2_3m	A2_T33_0m	A2_T33_3m	A2_T40_0m	A2_T40_3m	A2_T47_0m	A2_T47_3m	A2_T54_0m	A2_T54_3m	A2_T61_0m	A2_T61_3m	A3_T1_0m	A3_T1_3m	A3_T26_0m	A3_T26_3m	A3_T2_0m	A3_T2_3m	A3_T33_0m	A3_T33_3m	A3_T40_0m	A3_T40_3m	A3_T47_0m	A3_T47_3m	A3_T54_0m	A3_T54_3m	A3_T61_0m	A3_T61_3m	A4_T1_0m	A4_T1_3m	A4_T26_0m	A4_T26_3m	A4_T2_0m	A4_T2_3m	A4_T33_0m	A4_T33_3m	A4_T40_0m	A4_T40_3m	A4_T47_0m	A4_T47_3m	A4_T54_0m	A4_T54_3m	A4_T61_0m	A4_T61_3m	A5_T1_0m	A5_T1_3m	A5_T26_0m	A5_T26_3m	A5_T2_0m	A5_T2_3m	A5_T33_0m	A5_T33_3m	A5_T40_0m	A5_T40_3m	A5_T47_0m	A5_T47_3m	A5_T54_0m	A5_T54_3m	A5_T61_0m	A5_T61_3m	A6_T1_0m	A6_T1_3m	A6_T26_0m	A6_T26_3m	A6_T2_0m	A6_T2_3m	A6_T33_0m	A6_T33_3m	A6_T40_0m	A6_T40_3m	A6_T47_0m	A6_T47_3m	A6_T54_0m	A6_T54_3m	A6_T61_0m	A6_T61_3m	Negative
0	0	Root	1	616207	8961	8359	4614	9726	3481	11731	1053	7009	7017	272	4863	290	4698	254	3379	4776	3330	20992	6086	4253	4679	2223	7656	3548	11662	185	14237	8963	9340	496	4445	7964	9157	17387	2452	14308	7462	8790	7213	4305	2846	7058	5236	15881	5555	12403	6613	3528	6804	4598	3403	11497	10467	9742	9333	2229	5769	71	5512	871	7101	2673	7335	9519	6193	9936	9933	7797	12139	3520	2834	4465	4706	612	4975	1868	15824	7835	2241	3051	8267	19941	4586	4372	13102	4540	9766	2201	8862	228	3922	1201	13894	1398	4334	4
1	0.1	Eukaryota	38	616207	8961	8359	4614	9726	3481	11731	1053	7009	7017	272	4863	290	4698	254	3379	4776	3330	20992	6086	4253	4679	2223	7656	3548	11662	185	14237	8963	9340	496	4445	7964	9157	17387	2452	14308	7462	8790	7213	4305	2846	7058	5236	15881	5555	12403	6613	3528	6804	4598	3403	11497	10467	9742	9333	2229	5769	71	5512	871	7101	2673	7335	9519	6193	9936	9933	7797	12139	3520	2834	4465	4706	612	4975	1868	15824	7835	2241	3051	8267	19941	4586	4372	13102	4540	9766	2201	8862	228	3922	1201	13894	1398	4334	4
2	0.1.1	Annelida	2	3636	26	0	14	2	4	0	2	0	209	0	9	0	8	0	7	6	8	0	164	3	142	0	80	0	63	0	128	0	0	0	6	192	2	0	0	83	96	0	42	0	3	0	1	0	0	0	24	4	26	0	2	258	2	0	45	0	27	0	0	0	1	0	0	88	150	0	46	18	3	0	8	0	190	0	0	0	122	0	0	23	1188	0	14	9	15	0	3	0	3	0	38	0	0	0	29	0
3	0.1.1.1	Annelida_unclassified	1	243	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	4	0	1	1	88	0	15	0	7	0	1	0	0	0	0	0	0	0	0	9	3	0	6	0	1	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	85	6	0	0	4	0	0	0	0	4	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	0.1.1.1.1	Annelida_unclassified	1	243	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	4	0	1	1	88	0	15	0	7	0	1	0	0	0	0	0	0	0	0	9	3	0	6	0	1	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	85	6	0	0	4	0	0	0	0	4	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	0.1.1.1.1.1	Annelida_unclassified	1	243	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	4	0	1	1	88	0	15	0	7	0	1	0	0	0	0	0	0	0	0	9	3	0	6	0	1	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	85	6	0	0	4	0	0	0	0	4	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	0.1.1.1.1.1.1	Annelida_unclassified	0	243	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	4	0	1	1	88	0	15	0	7	0	1	0	0	0	0	0	0	0	0	9	3	0	6	0	1	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	85	6	0	0	4	0	0	0	0	4	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	0.1.1.2	Clitellata	2	3393	25	0	14	2	4	0	2	0	208	0	9	0	8	0	7	6	4	0	163	2	54	0	65	0	56	0	127	0	0	0	6	192	2	0	0	74	93	0	36	0	2	0	0	0	0	0	24	4	26	0	0	258	2	0	45	0	26	0	0	0	1	0	0	3	144	0	46	14	3	0	8	0	186	0	0	0	122	0	0	21	1188	0	14	9	15	0	3	0	3	0	38	0	0	0	29	0
4	0.1.1.2.1	Clitellata_unclassified	1	175	1	0	4	0	1	0	2	0	0	0	9	0	0	0	7	1	0	0	4	0	0	0	9	0	2	0	24	0	0	0	3	15	0	0	0	2	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	3	1	0	5	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	34	0	0	0	6	0	0	1	7	0	1	1	0	0	1	0	3	0	1	0	0	0	1	0
5	0.1.1.2.1.1	Clitellata_unclassified	1	175	1	0	4	0	1	0	2	0	0	0	9	0	0	0	7	1	0	0	4	0	0	0	9	0	2	0	24	0	0	0	3	15	0	0	0	2	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	3	1	0	5	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	34	0	0	0	6	0	0	1	7	0	1	1	0	0	1	0	3	0	1	0	0	0	1	0
