"sampleName","collectionDay","degdays","distance"
"A1_T1_3m","T1",27,"3m"
"A2_T1_0m","T1",27,"0m"
"A2_T1_3m","T1",27,"3m"
"A3_T1_0m","T1",27,"0m"
"A3_T1_3m","T1",27,"3m"
"A4_T1_0m","T1",27,"0m"
"A4_T1_3m","T1",27,"3m"
"A5_T1_0m","T1",27,"0m"
"A5_T1_3m","T1",27,"3m"
"A6_T1_0m","T1",27,"0m"
"A6_T1_3m","T1",27,"3m"
"A1_T2_0m","T2",57,"0m"
"A1_T2_3m","T2",57,"3m"
"A2_T2_0m","T2",57,"0m"
"A2_T2_3m","T2",57,"3m"
"A3_T2_0m","T2",57,"0m"
"A3_T2_3m","T2",57,"3m"
"A4_T2_0m","T2",57,"0m"
"A4_T2_3m","T2",57,"3m"
"A5_T2_0m","T2",57,"0m"
"A5_T2_3m","T2",57,"3m"
"A6_T2_0m","T2",57,"0m"
"A6_T2_3m","T2",57,"3m"
"A1_T26_0m","T26",734,"0m"
"A1_T26_3m","T26",734,"3m"
"A2_T26_0m","T26",734,"0m"
"A2_T26_3m","T26",734,"3m"
"A3_T26_0m","T26",734,"0m"
"A3_T26_3m","T26",734,"3m"
"A4_T26_0m","T26",734,"0m"
"A4_T26_3m","T26",734,"3m"
"A5_T26_0m","T26",734,"0m"
"A5_T26_3m","T26",734,"3m"
"A6_T26_0m","T26",734,"0m"
"A6_T26_3m","T26",734,"3m"
"A1_T33_0m","T33",930,"0m"
"A1_T33_3m","T33",930,"3m"
"A2_T33_0m","T33",930,"0m"
"A2_T33_3m","T33",930,"3m"
"A3_T33_0m","T33",930,"0m"
"A3_T33_3m","T33",930,"3m"
"A4_T33_0m","T33",930,"0m"
"A4_T33_3m","T33",930,"3m"
"A5_T33_0m","T33",930,"0m"
"A5_T33_3m","T33",930,"3m"
"A6_T33_0m","T33",930,"0m"
"A6_T33_3m","T33",930,"3m"
"A1_T40_0m","T40",1130,"0m"
"A1_T40_3m","T40",1130,"3m"
"A2_T40_0m","T40",1130,"0m"
"A2_T40_3m","T40",1130,"3m"
"A3_T40_0m","T40",1130,"0m"
"A3_T40_3m","T40",1130,"3m"
"A4_T40_0m","T40",1130,"0m"
"A4_T40_3m","T40",1130,"3m"
"A5_T40_0m","T40",1130,"0m"
"A5_T40_3m","T40",1130,"3m"
"A6_T40_0m","T40",1130,"0m"
"A6_T40_3m","T40",1130,"3m"
"A1_T47_0m","T47",1326,"0m"
"A1_T47_3m","T47",1326,"3m"
"A2_T47_0m","T47",1326,"0m"
"A2_T47_3m","T47",1326,"3m"
"A3_T47_0m","T47",1326,"0m"
"A3_T47_3m","T47",1326,"3m"
"A4_T47_0m","T47",1326,"0m"
"A4_T47_3m","T47",1326,"3m"
"A5_T47_0m","T47",1326,"0m"
"A5_T47_3m","T47",1326,"3m"
"A6_T47_0m","T47",1326,"0m"
"A6_T47_3m","T47",1326,"3m"
"A1_T54_0m","T54",1516,"0m"
"A1_T54_3m","T54",1516,"3m"
"A2_T54_0m","T54",1516,"0m"
"A2_T54_3m","T54",1516,"3m"
"A3_T54_0m","T54",1516,"0m"
"A3_T54_3m","T54",1516,"3m"
"A4_T54_0m","T54",1516,"0m"
"A4_T54_3m","T54",1516,"3m"
"A5_T54_0m","T54",1516,"0m"
"A5_T54_3m","T54",1516,"3m"
"A6_T54_0m","T54",1516,"0m"
"A6_T54_3m","T54",1516,"3m"
"A1_T61_0m","T61",1730,"0m"
"A1_T61_3m","T61",1730,"3m"
"A2_T61_0m","T61",1730,"0m"
"A2_T61_3m","T61",1730,"3m"
"A3_T61_0m","T61",1730,"0m"
"A3_T61_3m","T61",1730,"3m"
"A4_T61_0m","T61",1730,"0m"
"A4_T61_3m","T61",1730,"3m"
"A5_T61_0m","T61",1730,"0m"
"A5_T61_3m","T61",1730,"3m"
"A6_T61_0m","T61",1730,"0m"
"A6_T61_3m","T61",1730,"3m"
